36 E8,AF B0,3 C4,0 7F,FD 45,66 B8
34 A8,AD C8,DE 48,FC 94,FC 3F,67 38
34 E0,A9 C,14 8,FF A2,FD C0,68 2E
35 74,A7 80,FA 6C,2 BF,FE 3B,68 22
35 20,A5 B8,F6 A8,FE BD,FD 77,68 23
36 54,A2 B8,4 E8,1 72,FE D,67 CF
31 C0,A4 D4,D8 5C,FD AB,FD 3A,67 15
32 94,A1 74,FD 3C,FB E7,FD 17,66 98
2F 3C,9F A0,7 18,FE 82,FD C1,66 D6
2B B0,A0 F0,E9 FC,FC 69,FC EA,66 32
2D 4,9E 24,4 24,FE 95,FD 57,66 76
24 54,9C AC,FA B4,1 2B,FE F0,66 5C
26 14,9C B0,EE AC,FF 3F,FD 60,65 BD
22 D4,9B 7C,1 78,0 4C,FD D2,65 AE
1D B4,9A A0,F0 64,FF 5E,FD E0,65 58
1D 34,9B 44,EF 6C,FD 2D,FD 42,64 7E
1B E0,9A 4C,F9 78,FD 5D,FD 43,64 6C
15 E8,98 A0,FA 5C,FD 2E,FD 53,64 14
16 5C,9A BC,3 94,FE BC,FD 80,61 83
FD B4,9E 80,EE 90,FE 26,FD 41,61 5
F9 34,9E 60,FE 90,FE F2,FD 78,60 3
F7 4,9F 14,0 C4,1 5,FD E9,60 D0
F6 7C,A1 58,EC 98,FF 2A,FD 96,60 1D
F4 94,A2 30,FB 34,FE D,FD D8,5F C9
F0 24,A2 7C,F5 F8,FF FF,FD D3,5F 5D
EE 6C,A5 CC,EE B4,FD FB,FD 54,5E D2
EC 34,A6 88,FD 7C,FD B1,FD 74,5E 99
E8 24,A7 28,F8 C0,FE 36,FD 96,5E 3D
E8 B4,AA D4,F7 D4,FE 86,FD 79,5D FA
E5 E8,AB AC,FC F8,FF C9,FD AD,5D D3
E2 28,AC 2C,F8 D4,FF EA,FD AE,5D 91
E1 F0,AF B8,F6 38,FF 97,FD D5,5D D
E1 18,B1 78,F6 D8,FE CA,FD F1,5A 70
D3 C4,C3 C,F2 50,FF 47,FD A8,59 D2
D3 20,C5 50,F7 3C,FE 1F,FD B0,59 60
D0 F0,C7 88,FB 94,FE 8B,FD A9,59 19
D2 8,CA D0,F3 30,FD 5D,FD 8A,58 59
D0 C4,CD 70,FE 34,FD F9,FD BC,58 4D
CE 64,CF D0,FB 8C,FF 43,FD C2,58 16
CE 60,D2 DC,F5 B4,FE DA,FD B9,57 C1
CC D0,D4 0,FD 4C,FF ED,FE 6,57 95
CC FC,D7 90,F6 78,FF CB,FD DB,57 36
CC C4,DA 44,F4 98,FE B1,FD C6,56 A8
CD F0,DC 7C,FA A0,FE A5,FD BF,56 3B
CB 20,DE DC,F5 0,FD D7,FD 94,55 F6
CC D8,E2 4,F9 D8,FD CA,FD 91,55 92
CB 30,E3 D4,FC E8,FE 76,FD BE,55 5D
CB 10,E7 1C,FB 50,FE 2,FD DC,55 F7
CC 14,EA 14,FB 9C,FF DD,FD F2,54 BE
CC EC,EC DC,F8 E4,FF 96,FE 11,54 6A
CB 0,EF 2C,F9 28,FF 82,FD F4,54 D
CC CC,F1 FC,F6 8,FE BB,FD CF,53 A4
CC B0,F3 F8,F7 0,FE 10,FD BF,53 51
CD 34,F6 9C,F9 70,FE 25,FD C7,52 F2
CE EC,F8 C8,F7 E8,FD ED,FD C1,52 A6
CE AC,FA A4,FC C4,FE 7E,FD CC,52 81
CE 2C,FC D8,FB F4,FF 29,FD DF,52 4A
D0 88,FE AC,FA 58,FF 40,FD F3,51 ED
D0 74,1 5C,FC E4,FF B2,FE 1A,51 D8
D2 4,3 70,F6 48,FF 4B,FE 19,51 78
D4 48,5 EC,F8 28,FE BE,FD E9,50 1
D4 6C,8 68,FA 9C,FE BC,FD DF,50 86
D6 70,A 78,F6 4,FE 9,FD BF,50 4B
D6 24,C D4,FC 18,FE 87,FD EC,50 2B
D7 A8,E C4,F8 B0,FE A4,FD D3,50 19
D9 8,F 20,FB EC,FE B8,FD DF,4F DA
DA BC,11 F4,FD BC,FF 6D,FD E3,4F B7
D6 90,12 D0,F7 74,FE 73,FE 0,50 39
D6 48,13 F8,FB 80,FE A5,FC 5D,50 43
DD D4,15 98,F9 44,FF A9,FE 2A,51 24
DD A0,19 38,EE 90,FE 1E,FD FE,50 C5
D9 64,13 80,1 40,FD 45,FD CB,52 8E
D7 3C,1A D8,FE E8,0 9A,FE 2D,53 11
E0 38,16 A4,E3 6C,FC AF,FD AC,53 92
DA 5C,19 F4,11 C4,FE FE,FD B2,55 B8
D4 60,17 F8,F1 28,0 DD,FE 28,56 6F
EB E0,1C BC,FB D0,FC A2,FD A3,5E C3
F6 E4,19 20,6 7C,FF 57,FD 83,60 E
F7 8C,19 74,EE 10,FD 60,FD 44,60 90
2 64,1A B8,6 C0,FE E3,FD B6,61 B6
FE 24,17 B4,FD 58,0 7E,FD A3,62 C8
6 14,19 48,F4 18,FF 1D,FD 7C,63 61
8 68,18 A0,FF 60,0 A,FD E2,64 A3
9 24,15 3C,F6 E4,FF 6B,FD A7,65 66
D 60,16 A4,F4 80,FE 53,FD A4,66 37
14 48,16 4,F9 90,FE 65,FD B5,66 7A
17 50,14 1C,F6 E4,FD D6,FD 68,66 A0
21 48,14 D8,FB 58,FE A9,FD AC,66 FD
22 50,16 D0,F2 8C,FE 90,FD CD,66 23
1F FC,11 7C,FD 78,FF 11,FC F4,65 F6
29 34,13 D0,FE 78,0 13,FE F7,63 1
32 E8,6 34,4 BC,0 47,FE 28,64 51
3A 50,6 74,ED E0,FE 5D,FD 98,63 75
3C 90,4 38,1 54,FD CF,FD 42,63 7E
3A A0,0 80,4 7C,FF 3,FD E2,63 8A
40 AC,1 50,EB 98,FE 2,FD 59,63 2B
40 50,FD 8C,FC 18,FE BE,FD 7C,63 9
40 F4,FA E0,FD 4,FF 8A,FD CA,63 1C
42 1C,F9 94,F8 14,FE AE,FD B7,62 99
48 74,F6 B0,F9 50,FE E0,FD AB,62 A4
40 38,F3 88,F4 EC,FE 9B,FD 93,62 D0
48 58,F2 68,FB 14,FE DB,FD BE,62 25
48 68,F0 34,F3 14,FE E5,FD 9C,62 21
45 18,ED 60,FF D4,FE 62,FD 88,62 E
4A DC,EA D0,FE B4,FF 6D,FD FB,61 CB
49 38,E9 D0,F7 C8,FD D1,FD 51,61 BA
49 AC,E5 B4,5 F4,0 61,FD 1,61 DB
4C 60,E2 44,EC D8,FF E6,FD 8A,61 E
4A 50,DF D8,FA DC,FD CE,FD 6E,61 48
49 AC,DD 84,2 64,0 18,FE FC,61 4E
4D 58,DB A4,E9 7C,FD A5,FD 68,60 B7
4A 7C,D8 98,0 C0,FD FE,FD 9F,60 FA
49 78,D5 8C,FE 70,FF D1,FD E2,60 C4
4C 64,D4 20,EC 8,FD 8B,FD 87,60 50
49 44,D1 BC,5 88,FE F,FD A5,60 BE
46 80,CE B8,F8 88,FF CF,FE FE,60 7A
4B C8,CC 90,EF 78,FD CB,FD 45,60 3
46 40,C9 58,3 2C,FF 4A,FD BC,60 56
46 C0,C6 74,F3 EC,FF F2,FD C8,5F DD
49 E4,C5 9C,F1 24,FD AF,FD 5F,5F A6
43 D0,C1 84,FC CC,FF 40,FD D5,5F AE
45 80,BF AC,F2 54,FE 3A,FD 99,5F 5A
43 54,BE 58,FB 80,FE B8,FD B9,5F 41
40 B0,BB 30,FA B8,FF 24,FD BE,5F 35
41 50,B9 B0,F4 1C,FE B3,FD 8B,5E F8
3E 98,B7 88,F9 B8,FE C9,FD 92,5E F2
3B 28,B4 FC,FA 80,FE CA,FD B3,5E C7
3D C,B4 FC,F4 58,FE 5A,FD 94,5E 5F
3A 5C,B2 B0,F7 2C,FE 4B,FD A3,5E 47
36 6C,AF 68,FB 0,FE E2,FD B3,5E 33
37 4C,AE 38,F5 70,FE B1,FD 99,5D E0
33 20,AC 50,F8 90,FE 7F,FD B2,5D DB
31 48,AA CC,FB 94,FF 60,FD C6,5D A3
32 3C,AA D4,F2 B8,FE A4,FD A3,5D 51
2D 30,A1 58,F4 78,FE 44,FD BA,5B 92
19 9C,A0 F0,FB F0,FE E9,FD BD,5B 6A
17 58,A1 D8,F4 30,FE A0,FD AF,5B 7
15 8C,A0 A4,F6 78,FE 33,FD A0,5A C8
12 14,A0 74,FB 58,FE E4,FD B2,5A C8
10 64,A0 58,F5 58,FE A0,FD BF,5A 83
F E4,A0 68,F8 40,FE 9A,FD C1,5A 4F
A E8,A0 20,F9 C,FF 9,FD D4,5A 27
9 40,A0 80,F5 18,FE A9,FD BA,59 C8
6 18,A1 28,F7 20,FE A4,FD BB,59 95
2 C4,A1 5C,F8 8,FE AD,FD C1,59 58
2 30,A1 C8,F6 C0,FE 89,FD AF,59 9
FF A4,A2 E4,F8 40,FE A5,FD C7,58 BF
FD 30,A3 5C,F8 3C,FE B3,FD AF,58 6E
FA 64,A4 88,F9 A0,FE D4,FD C7,58 75
E7 F4,AC 94,F7 90,FE 92,FD ED,58 D9
DA 64,AB A8,F8 30,FF 23,FD 8F,59 A5
DF 34,AB E4,F6 5C,FF 20,FD BA,5A C4
D3 D0,AC 58,F4 1C,FE C4,FD 8D,5B 16
D2 EC,AA 70,0 4,FE CD,FD 79,5D CB
CF C4,AD EC,F9 7C,FE 64,FD 8B,5F 7D
D0 BC,AE 9C,F3 1C,FE 48,FD 25,61 46
CC 0,AD 68,F6 58,FE 4B,FD 62,63 65
C5 A4,AE 2C,F5 20,FE 9A,FD 45,65 AD
C5 20,AE A8,FA 4C,FE BE,FD 22,67 DE
C0 5C,AD A4,FB F0,FE DC,FD A1,6A 3E
C4 68,B0 7C,F8 10,FF 6A,FD 49,6B E9
C4 68,B0 FC,F5 C,FF F8,FD 7C,6D 79
C5 6C,B1 F0,F5 C8,FF 15,FD 69,6E C6
C7 D8,B6 C0,F3 E8,FF 14,FD 43,6F DF
CA 7C,B6 B8,F6 50,FE 91,FD FD,6F E6
D0 18,BB E4,FB E4,FE A5,FD 31,70 FB
CF EC,C0 D4,F8 9C,FE D3,FC ED,6F A6
D0 EC,C2 34,FC 38,FE 41,FD 21,6F 47
D4 84,C7 AC,FC 4,FF 31,FD 71,6E D5
CF C4,CB F4,F3 C0,FE E9,FD 55,6E 55
D0 64,CD 58,FA A4,FE C4,FD 82,6D CB
CF E8,D1 1C,FA 6C,FF 98,FD 9E,6D 6A
CF C0,D3 F4,F2 B0,FE B9,FD 32,6C B9
D0 6C,D6 78,FB CC,FE 6A,FD 4E,6C 3D
D0 44,DA C,F8 14,FF 42,FD 38,6B 94
D0 D8,DD A8,F2 40,FD 80,FD 1C,6B F3
D0 E4,DE DC,4 C,FE BA,FD 3E,6A CC
D1 80,E4 94,FA 6C,FE C3,FD 88,6A F0
D4 34,E9 2C,F8 BC,FE B,FD 55,69 BE
D0 E4,EA 6C,FD 70,FF D4,FD CE,69 49
D6 C8,F0 30,F1 28,FF F5,FD 5D,68 A8
D3 68,F2 98,FC A0,FE C,FD 62,68 6D
D8 18,F4 B4,FC 20,FF E,FD 8D,67 B7
D9 EC,F9 20,F0 D0,FD F0,FD 2F,67 35
D7 4,F9 F0,FC 98,FE 52,FD 61,66 E1
DA 68,FC 30,F9 C,FE 90,FD 77,66 6A
DA 8C,FF 94,F8 24,FE 42,FD 86,66 4E
DD 1C,0 70,0 50,FF 59,FD 94,65 E1
DF 20,3 68,F7 78,FF 6F,FD A7,65 83
E0 44,6 64,F8 4,FF 45,FD A9,65 FB
E2 44,8 E4,FB 58,FF 51,FD 9E,64 A4
E4 C,B 58,F7 44,FE D8,FD 8F,64 37
F8 40,18 C,FA F0,FF 5,FD A8,61 43
FA 3C,18 78,F6 70,FE 8C,FD 98,60 D4
FD AC,19 FC,FA 38,FE 66,FD 70,60 A6
FF 6C,1A BC,FA DC,FE DE,FD 95,60 52
2 90,1B 84,F7 E0,FE B3,FD BD,60 11
3 40,1B F8,FC 1C,FE 4,FD BB,60 1A
7 7C,1C 88,F9 84,FF 40,FD CC,5F 9E
9 70,1C 80,F8 40,FE CD,FD A3,5F 60
C 88,1C 4,FC 58,FE EB,FD A1,5F 22
E 30,1C 4C,F9 54,FE 88,FD 8D,5E C5
10 A0,1C 30,FA FC,FE 79,FD 99,5E C0
13 54,1D B4,FB 78,FE F6,FD AD,5E 8B
16 24,1B E8,F8 3C,FE E3,FD B4,5E 4E
18 18,1C B4,FB C8,FF 5E,FD F0,5E 31
1A 3C,1B CC,F7 34,FF 51,FD CA,5D B
2C E0,14 74,F9 20,FF 8E,FD C6,5C B8
2F 30,13 48,F8 20,FF 4B,FD F7,5C A3
31 0,12 40,F9 64,FF 80,FD ED,5C 60
32 E0,10 50,F5 9C,FE A2,FD CD,5C 1F
34 9C,E AC,F8 20,FE FE,FD BD,5B F1
35 C0,D 18,F9 44,FE 8,FD AB,5B D1
37 1C,B 58,FA 14,FD E4,FD AC,5B C2
39 8C,9 CC,FD 78,FE 8B,FD B8,5B BE
3A 78,7 4,FB DC,FF 24,FD C0,5B A3
3B 20,6 B0,FA 4,FF 82,FD D4,5B A7
3D 8,4 24,FA F8,FF E2,FD E3,5B 90
40 48,2 64,F6 D8,FF 65,FD E4,5B 6E
41 6C,FF C8,F7 94,FE B9,FD E2,5B D
42 B8,FE 24,F8 3C,FE 49,FD E0,5A EC
43 34,FA B8,F8 F8,FD BE,FD B8,5A E1
43 AC,F8 E8,FB 24,FE 3D,FD C8,5A D9
45 3C,F7 14,FB F0,FE BE,FD BC,5A E4
45 A8,F4 98,FC 4,FF 50,FD D4,5A DD
46 74,F2 74,F9 DC,FF B9,FD F6,5A AD
47 64,F0 FC,F6 0,FF 72,FE FC,5A 82
47 E8,ED 3C,F7 C4,FF 12,FD E0,5A 77
48 C,EA F0,F6 60,FE 6C,FD AF,5A 45
49 A4,E8 B0,F7 44,FD E5,FD BC,5A 22
49 28,E6 68,FA 20,FD F0,FD BB,5A 16
49 30,E3 B4,F9 C0,FE 41,FD B2,59 1
49 E8,E1 64,FB 6C,FE EB,FD C6,5A 18
49 3C,DF 8,FA 78,FF 55,FD F4,5A 11
49 8C,DD 18,F9 8C,FF 73,FD FB,59 4
49 C4,DA F4,F9 4,FF 37,FD D7,59 C9
48 A0,D7 D4,F7 20,FE A3,FD CA,59 88
48 14,D4 C0,F7 C4,FE 2A,FD BF,59 A5
47 DC,D2 44,F8 20,FE 5,FD CB,59 60
47 4C,D0 14,F8 A8,FE 27,FD B4,59 4D
47 AC,CD C0,FA 80,FE C0,FD D1,59 45
45 BC,CB 84,F8 C0,FF 21,FD D9,59 54
45 5C,C9 1C,F9 28,FF 39,FD F8,59 46
43 FC,C6 D4,F8 BC,FF 47,FD E2,59 27
42 10,C5 54,F7 68,FE DA,FD E3,58 F9
